# n, config_file, trace_file, graph_file, save_dir, Sample Rate (kS/s), Duration (ms), Trigger Channel, Trigger Level (V), Trigger Edge, channels
# 9, Z:/Tweezer/Code/Python 3.5/PyDex/monitor/dqconfig 01.07.2020.dat, DAQtrace.csv, 121MHz.csv, Z:\Tweezer\Code\Python 3.5\PyDex\monitor\AWG_power_calibration, 20.0, 200.0, /Dev2/PFI0, 1.0, rising, [[Dev2/ai1, 940 tweezer, 1.0, 0.0, 5.0, 1, 1]]
# name, start index, end index, [channels]; ...
# Slice0, 200, 3799, ['Dev2/ai1']
# Run, Slice0//Dev2/ai1 mean, Slice0//Dev2/ai1 stdv
126.0,0.24059891982510237,0.000495460807654717
219.0,0.5183911049413094,0.0005189687446032219
7.0,0.002148493666460652,0.0004171070890764319
103.0,0.16842307560087774,0.0004189400718388502
204.0,0.48816495409069655,0.0004771657082660513
157.0,0.3572227343051838,0.0004579141245870855
72.0,0.08784740195364311,0.00041341267074583067
225.0,0.5363498400967334,0.0008184889180212667
107.0,0.18539808285503284,0.00045761627452655724
147.0,0.32060255284312983,0.0005019967879775996
93.0,0.14122888400895514,0.00044264684721991894
188.0,0.4486015622135846,0.0006995099779488945
44.0,0.033842707880324625,0.0004049251610252755
23.0,0.010392466799761402,0.0004167837539810721
31.0,0.017937513002365128,0.0004204198521460064
161.0,0.36325347888428317,0.0006998713910448148
29.0,0.015948174923455453,0.00042907283887499097
25.0,0.012083159557816315,0.00041657901510551854
101.0,0.1612733724680318,0.0004389992169145778
116.0,0.20811172648123974,0.0004657501890601013
190.0,0.45292716642564945,0.0008804602043082598
91.0,0.1355952679240746,0.0005006090000385442
151.0,0.334422583731081,0.0004941891283511306
250.0,0.5747904371218568,0.0008564832591600404
52.0,0.04715171859549465,0.000440612568646173
64.0,0.06989955845946251,0.00040925059128326687
89.0,0.1284163039715271,0.0004187657350186466
66.0,0.07329991804406534,0.000425817875376615
159.0,0.35787918728527474,0.0004973736446967703
149.0,0.3270281381632958,0.000547870837177
239.0,0.5624581419364091,0.0006922496868922023
19.0,0.0077614436421654335,0.0004232942187639957
83.0,0.11279544292850355,0.0004389321790548919
120.0,0.2230427144517187,0.0004346189934131496
54.0,0.049695964589441824,0.00043150283986504644
200.0,0.47698344262762377,0.0006226560027906404
194.0,0.4688181499948013,0.0005971397039268414
42.0,0.03109715521506368,0.00041609381323502145
13.0,0.004266945993976397,0.0004172115585526942
198.0,0.4728785304760781,0.0006795586755602851
235.0,0.5578965282846019,0.0006238078003594844
221.0,0.5401964325819367,0.0007622236057788691
210.0,0.5224355293654906,0.0008277372828854886
112.0,0.20331451821842986,0.00042689817342998694
68.0,0.07967283192046201,0.00040456289536858236
85.0,0.11831713548743418,0.000435203684993484
237.0,0.55503493550526,0.0008736688819990888
155.0,0.35245684362530255,0.00045703290819319064
233.0,0.5597122216902654,0.0005970894662312746
97.0,0.15607204222143298,0.0004749421178015109
165.0,0.3882022589650581,0.0005776865490955212
56.0,0.05460921049022305,0.0004103239855424324
70.0,0.08310030369581385,0.0004203767648347041
227.0,0.5394775710906692,0.0005476100576406862
142.0,0.3084155620421481,0.0004720323532782735
173.0,0.4138428805686801,0.0005516335425732549
247.0,0.5792033225249866,0.0008793900710066314
87.0,0.1267969805498971,0.00044330249724960815
163.0,0.38165962896018807,0.0004333249508750578
48.0,0.040416288206845806,0.00041964552655077673
212.0,0.5142756768046363,0.00043254195940722683
124.0,0.2416314226441355,0.0004905693713789981
128.0,0.25515266965253086,0.00043653964688844754
122.0,0.2333268227772326,0.00043809182589757076
81.0,0.10792983743201508,0.0004293153225963186
177.0,0.4217028061324069,0.0006201158175233771
145.0,0.3144476778340609,0.0005200190313412085
138.0,0.2929971935657791,0.0004898564832373034
223.0,0.5390577665879087,0.0008609339157540937
130.0,0.2654726688287684,0.000547580580615371
50.0,0.043831415399723905,0.0004143676796182113
245.0,0.5693610505521444,0.0009579959833524385
202.0,0.4962517451145073,0.0005911296617157429
208.0,0.5171751258382428,0.0005638854038745138
99.0,0.1638815814588434,0.00048613100186599705
37.0,0.025881972201442435,0.0004225204880450615
179.0,0.4300221757761896,0.0005597645321224627
105.0,0.17930808597142142,0.0004558920850673521
206.0,0.5016904121831187,0.001015981751857466
62.0,0.0670274060835889,0.0004211570052591176
114.0,0.2048280448523741,0.0004523063451804252
153.0,0.34384961953407683,0.00047207261925219984
11.0,0.003324695340454982,0.0004041829263979493
243.0,0.5644715302782375,0.0006024542831140291
229.0,0.5530628784218936,0.0009339845859923832
192.0,0.47431136120835304,0.0007656210261135033
75.0,0.09516869312994901,0.0004296098100436767
109.0,0.1929920508365002,0.0004586916596600574
231.0,0.5533160321563589,0.0005225166318093419
184.0,0.44810668492973704,0.0004642304815405256
169.0,0.40741327105775427,0.0004953286283675537
196.0,0.4836956047700964,0.0005217922115320462
175.0,0.42773528866668775,0.00042951309148361275
241.0,0.579979746029834,0.0006503862204765921
186.0,0.4606927256379417,0.0005474019615833776
33.0,0.021281636449710872,0.00041798575757623764
167.0,0.3976919323938778,0.0004948910331405032
95.0,0.1490723019249797,0.0004658114479071471
132.0,0.27029740107528144,0.00042656869945838504
5.0,0.0017862513489795614,0.00040592882688006806
182.0,0.4342422572466328,0.0006548739924155942
217.0,0.5293293848250578,0.00047159921160358525
60.0,0.06297900627717372,0.00041774887998556555
171.0,0.40773729129822384,0.0005610467911842431
15.0,0.005231233855734927,0.00040900100843942834
77.0,0.09786660530626144,0.0004463882516467655
58.0,0.05752232827582033,0.00042075323603816205
