# n, config_file, trace_file, graph_file, save_dir, Sample Rate (kS/s), Duration (ms), Trigger Channel, Trigger Level (V), Trigger Edge, channels
# 280, Z:/Tweezer/Code/Python 3.5/PyDex/monitor/dqconfig 01.07.2020.dat, DAQtrace.csv, 181MHz.csv, Z:\Tweezer\Code\Python 3.5\PyDex\monitor\AWG_power_calibration, 10.0, 500.0, /Dev2/PFI0, 1.0, rising, [[Dev2/ai3, 940 power meter, 1.0, 0.0, 5.0, 1, 1]]
# name, start index, end index, [channels]; ...
# Slice0, 0, 4999, ['Dev2/ai3']
# Run, Slice0//Dev2/ai3 mean, Slice0//Dev2/ai3 stdv
10.0,0.011962247534334997,0.005948188632614564
20.0,0.03602502428761564,0.010050610225797283
30.0,0.07458642658260471,0.013898387338895821
40.0,0.12700352145497387,0.01739989416041742
50.0,0.19307754811400504,0.020352307335334233
60.0,0.2731379597449541,0.023597011235791165
70.0,0.36479884965448306,0.0265019375778887
80.0,0.4705960148436433,0.029583387373585103
90.0,0.5882913246524972,0.031784809820210196
100.0,0.716997467991005,0.034508540735069114
110.0,0.8529389155377226,0.03679809638912479
120.0,0.997584546606417,0.03759113562474823
130.0,1.1512622834779482,0.04017692173391399
140.0,1.3061206000384762,0.040944700669498166
150.0,1.4741575749180371,0.042700368929778174
160.0,1.6442042625834439,0.04211832097607754
170.0,1.8147288363684726,0.042319489120311755
180.0,1.9788822469982181,0.04062623720730186
190.0,2.1457716287170294,0.03959499638033248
200.0,2.3087664075298044,0.036851890259149506
210.0,2.452138928644351,0.010785594476961357
220.0,2.488133261115663,0.00027644177997629996
230.0,2.4880967539998964,0.0002635742464350019
240.0,2.488063143751768,0.0002584005976670298
250.0,2.4880516879571086,0.0002562284563573661
260.0,2.488048396062093,0.00025652946325596334
270.0,2.4880456637892348,0.0002594894296026012
280.0,2.3804146555794623,0.42078574264085616
