Amplitude,Power (mW)
0,0.005
0.02,0.024
0.04,0.077
0.06,0.163
0.08,0.281
0.1,0.427
0.133,0.717
0.166,1.05
0.2,1.402
0.233,1.744
0.266,2.053
0.3,2.312
0.32,2.437
0.34,2.527
0.36,2.595
0.38,2.641
0.4,2.663
0.42,2.678
0.45,2.67
0.47,2.653
0.5,2.643
0.6,2.617
0.7,2.611
0.8,2.609
0.9,2.603
1,2.597
