# DDS,RB1A,RB2,RB3,RB4,RB1B
4.406779661016949068e-01,5.217950682528434969e-01,9.138464385885712860e-01,8.698893040238543373e-01,9.466962046919082940e-01,9.994498946098229197e-01
4.576271186440677985e-01,5.560737355941851590e-01,9.335744852479340716e-01,8.884960787519226022e-01,9.641501699562829986e-01,1.000000000000000000e+00
4.745762711864406902e-01,5.897651040610520923e-01,9.487978863317346745e-01,9.114269866222068917e-01,9.735485058380339840e-01,1.000000000000000000e+00
4.915254237288135819e-01,6.202208413203715853e-01,9.652243824207572542e-01,9.326059647785365225e-01,9.834314542815877358e-01,1.000000000000000000e+00
5.084745762711864181e-01,6.476269898813576953e-01,9.820936972164628909e-01,9.508153492021457209e-01,9.934646115760847884e-01,1.000000000000000000e+00
5.254237288135593653e-01,6.786209191331441515e-01,9.896904734283348271e-01,9.585748522602069999e-01,9.959901791128145110e-01,1.000000000000000000e+00
5.423728813559322015e-01,7.134215044022924612e-01,9.958602397594791267e-01,9.714942883814866592e-01,9.983150311962174506e-01,1.000000000000000000e+00
5.593220338983050377e-01,7.467304375077996603e-01,1.000000000000000000e+00,9.845498622418669132e-01,1.000000000000000000e+00,1.000000000000000000e+00
5.762711864406779849e-01,7.782140288618023538e-01,1.000000000000000000e+00,9.901561704789636487e-01,1.000000000000000000e+00,1.000000000000000000e+00
5.932203389830508211e-01,8.105386342012574907e-01,1.000000000000000000e+00,9.962652123688137129e-01,1.000000000000000000e+00,1.000000000000000000e+00
6.101694915254237683e-01,8.440526794071495642e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.271186440677966045e-01,8.747564688267838173e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.440677966101694407e-01,9.008497171320745123e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.610169491525423879e-01,9.277861831458633635e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
