# n, config_file, trace_file, graph_file, save_dir, Sample Rate (kS/s), Duration (ms), Trigger Channel, Trigger Level (V), Trigger Edge, channels
# 220, Z:/Tweezer/Code/Python 3.5/PyDex/monitor/DEoptimiseConfig.dat, DAQtrace.csv, 121MHz.csv, Z:\Tweezer\Code\Python 3.5\PyDex\awg\AWG_power_calibration, 200.0, 300.0, /Dev2/PFI0, 1.0, rising, [[Dev2/ai1, 940 tweezer, 1.0, 0.0, 5.0, 1, 1]]
# name, start index, end index, [channels]; ...
# Slice0, 24000, 37999, ['Dev2/ai1']; Slice1, 4000, 18000, ['Dev2/ai1']
# Run, Slice0//Dev2/ai1 mean, Slice1//Dev2/ai1 mean, Slice0//Dev2/ai1 stdv, Slice1//Dev2/ai1 stdv
58.0,0.04255735909015404,0.5582961778874093,0.0017997773221371544,0.0018995741333420512
206.0,0.20776547578221444,0.5587179300133456,0.0018183640627040456,0.001806207010796768
68.0,0.0496730665331258,0.5568157663261424,0.001743979989849554,0.0018384207716313425
201.0,0.2026958969970902,0.5588537921308232,0.0018190308491509999,0.0018121974205319966
64.0,0.04660001636798412,0.5597843130321373,0.0017958274204881808,0.0018196939151373765
6.0,0.020349531787019804,0.5591594672004649,0.0018061646615410653,0.0018181496831743164
145.0,0.1394352954889609,0.5571542871811304,0.001797220444608296,0.001845834295089006
114.0,0.09901247094608909,0.5589514595597139,0.0017906535361209845,0.0018998832464030137
118.0,0.10356794220562941,0.5591873872947788,0.0017890878556238235,0.0018375314018062023
218.0,0.21804945200545175,0.5612057573622115,0.0017797771247368818,0.0017840083726879678
112.0,0.09651421562018714,0.5604316242542352,0.0017736517427789527,0.001850934910436828
8.0,0.020669089590666073,0.5600857207363148,0.0017727009308724532,0.001820167880568766
31.0,0.02676329593059296,0.5601886430210568,0.001750866330101814,0.0019011588872349739
120.0,0.106153949267751,0.560444085433162,0.0017721559887857916,0.0018483550327131045
222.0,0.21956311059842626,0.5583336084471439,0.0018080940195103544,0.001833336586465173
199.0,0.20117640712584878,0.5602650559104233,0.001820466286310654,0.0018161714611904637
226.0,0.22289570130190797,0.5603485810766663,0.0018037625837654095,0.0017892323393139393
203.0,0.2044824041946508,0.5585899795688952,0.001807222305350544,0.001794029673950078
212.0,0.21394302601335038,0.5599746163947281,0.00182485217123938,0.0018061623492840258
51.0,0.03709346256857335,0.5583177263220757,0.00180090136496215,0.001860426098428155
185.0,0.18846446864035882,0.5599933434305839,0.0017851931653557565,0.001800636242880112
137.0,0.13011361456031126,0.561224660735709,0.0017782744168334324,0.0018244416856293417
20.0,0.022972960159365747,0.5602289420032179,0.0017738985468152416,0.0018267387761768646
4.0,0.020455941326098754,0.5607753882112861,0.001834477763288917,0.0018287838601271215
183.0,0.18692866054305646,0.5610283618997964,0.0018125694782077577,0.0018453898109334994
77.0,0.05826834983224229,0.5586696488229939,0.0017801981540326384,0.0017912343544498703
87.0,0.06769497021811766,0.5586663219235007,0.0017459789402060467,0.001835754668252084
174.0,0.17580750446628413,0.5592942007585372,0.0017935343694937377,0.0018464399094987763
139.0,0.13244128078756745,0.5610090940958862,0.0017769468466461615,0.0018857754255443401
197.0,0.1995002597266758,0.5585030922357884,0.0017678280885342797,0.0018177215295085646
164.0,0.1655660995453966,0.559483834038818,0.0018007354546761085,0.001870014455699589
33.0,0.027612914557073875,0.5597339393040299,0.001810056166523661,0.001786021612760681
158.0,0.1580450805433068,0.5583457051953156,0.001794950293702412,0.0018302755308124588
181.0,0.1843545980687633,0.5588021017504567,0.0018038830258418916,0.0019236039255627563
160.0,0.16056111206929505,0.5603433850002244,0.001770758617604281,0.0018056603094159598
210.0,0.21229307243711065,0.5610945589740199,0.0018043709695239462,0.0018467891770337116
191.0,0.19475829214448462,0.5595606113591283,0.0018362432126445593,0.001881114236586436
133.0,0.12423315565509652,0.5581142094080371,0.0017848218102339863,0.0018434314171740446
189.0,0.19089758049736363,0.5581792544106362,0.0018021900795881533,0.0018451370953256805
116.0,0.1008524472771155,0.5555113865538669,0.0017961191544453778,0.0018552082130410456
101.0,0.08245865646330526,0.556971237166128,0.0017532929353576187,0.0018594740974804832
74.0,0.05459940151676641,0.5566890267329487,0.001761192299488691,0.0019357467741342933
106.0,0.08895566978130824,0.55478018574192,0.0017576184175335033,0.001883823758469277
195.0,0.19718210449640344,0.5576464919903716,0.0018151667014791842,0.0018384613037911214
16.0,0.022023374646270102,0.5584829545006097,0.0017783867301116706,0.0018573390656756417
122.0,0.10851475747969822,0.557696830450781,0.001773809330192658,0.0018687679377260543
166.0,0.1667425534715921,0.5574307607699324,0.0018095927792160169,0.0017600145085894933
178.0,0.17971086922826918,0.5584703522517889,0.001814838288783606,0.001862304336398613
26.0,0.024568480145070133,0.5568813638526577,0.0017747469471107566,0.001871135981422261
2.0,0.020345816682073015,0.5607989233813987,0.0017456811076157013,0.0018482919439018882
104.0,0.08693979029656837,0.5592312247816694,0.0017760796202892415,0.0018273510333228211
29.0,0.025975799501750642,0.557070938352562,0.001805887288762624,0.001794150411989021
99.0,0.0803359089350785,0.5578935642509799,0.0017821007137945374,0.0018091278171634714
228.0,0.22153790078435895,0.5546351305671852,0.001847652647291094,0.0018793820739146424
126.0,0.11290798684014336,0.5559238515727825,0.0017808659960572356,0.0018183410133384226
49.0,0.03561211150765676,0.5552004918981774,0.0017605847527398587,0.001827629641750192
153.0,0.15022025768596964,0.5567691779756494,0.001764653636381286,0.001905591484312463
108.0,0.09160446914471877,0.5595068872196571,0.0017644782471935903,0.0018276421200021313
18.0,0.022498743479169133,0.5586839674230941,0.0017987161325533354,0.0018489923943287
72.0,0.053047851415622134,0.5578025623777614,0.0018031783035225373,0.001823012856392182
95.0,0.0755476676125802,0.5586343695798348,0.001801427499231332,0.0018210293919194037
156.0,0.15433282040295337,0.5566052194269878,0.001777228533535408,0.0018495623644338127
12.0,0.021218055121326167,0.5551430999406689,0.001784026457680144,0.0018254824996453442
66.0,0.048025946537633334,0.5568156135002567,0.0017554309512883594,0.0018076111034918256
56.0,0.040716548108957744,0.5565276897339224,0.0017881904575260115,0.001801525531928668
147.0,0.14144018257811228,0.555836834925918,0.001747255041202047,0.0018186355065998923
176.0,0.17696788704620658,0.5573765546421406,0.0018027650080824093,0.0018365353996985876
224.0,0.22062068121196593,0.5577257380344659,0.0018544151777506461,0.0018323593178610738
